Day,Number of Bicycle Hires,Month,Number of Bicycle Hires,Year,Number of Bicycle Hires,Month,Average Hire Time (mins)
15/05/2012,18409,,,,,,
16/05/2012,31453,,,,,,
17/05/2012,31219,,,,,,
18/05/2012,30945,,,,,,
19/05/2012,28474,,,,,,
20/05/2012,22286,,,,,,
21/05/2012,30905,,,,,,
22/05/2012,36720,,,,,,
23/05/2012,40486,,,,,,
24/05/2012,42008,,,,,,
25/05/2012,41357,,,,,,
26/05/2012,39358,,,,,,
27/05/2012,38781,,,,,,
28/05/2012,40872,,,,,,
29/05/2012,37962,,,,,,
30/05/2012,38803,,,,,,
31/05/2012,35630,,,,,,
01/06/2012,34524,,,,,,
02/06/2012,25283,,,,,,
03/06/2012,12207,,,,,,
04/06/2012,22649,,,,,,
05/06/2012,15537,,,,,,
06/06/2012,30297,,,,,,
07/06/2012,23066,,,,,,
08/06/2012,22224,,,,,,
09/06/2012,29258,,,,,,
10/06/2012,20876,,,,,,
11/06/2012,10252,,,,,,
12/06/2012,23742,,,,,,
13/06/2012,34447,,,,,,
14/06/2012,31593,,,,,,
15/06/2012,30944,,,,,,
16/06/2012,26300,,,,,,
17/06/2012,28531,,,,,,
18/06/2012,31089,,,,,,
19/06/2012,37601,,,,,,
20/06/2012,39267,,,,,,
21/06/2012,27052,,,,,,
22/06/2012,33027,,,,,,
23/06/2012,26900,,,,,,
24/06/2012,23509,,,,,,
25/06/2012,36337,,,,,,
26/06/2012,37652,,,,,,
27/06/2012,36767,,,,,,
28/06/2012,39571,,,,,,
29/06/2012,35321,,,,,,
30/06/2012,32982,,,,,,
01/07/2012,27438,,,,,,
02/07/2012,24963,,,,,,
03/07/2012,27163,,,,,,
04/07/2012,32433,,,,,,
05/07/2012,40565,,,,,,
06/07/2012,24723,,,,,,
07/07/2012,24782,,,,,,
08/07/2012,15855,,,,,,
09/07/2012,30523,,,,,,
10/07/2012,29723,,,,,,
11/07/2012,30544,,,,,,
12/07/2012,24736,,,,,,
13/07/2012,28875,,,,,,
14/07/2012,17999,,,,,,
15/07/2012,29938,,,,,,
16/07/2012,24218,,,,,,
17/07/2012,36788,,,,,,
18/07/2012,29841,,,,,,
19/07/2012,37032,,,,,,
